Conference,Average Number of Co-authors per Paper,Year
AAAI,4.298669891172914,2021
AAAI,4.372251705837756,2022
AAAI,4.695007414730598,2023
AAAI,4.816753926701571,2024
AAAI,5.138267355134825,2025
ACL,4.652112676056338,2021
ACL,4.699321047526674,2022
ACL,5.085769980506822,2023
ACL,5.76126359399275,2024
ACM MM,5.724498692240628,2024
AISTATS,3.7722602739726026,2025
CoLM,6.0200668896321075,2024
CoRL,4.954248366013072,2021
CoRL,5.299492385786802,2022
CoRL,5.768844221105527,2023
CoRL,5.78030303030303,2024
CVPR,3.48619957537155,2013
CVPR,3.4833333333333334,2014
CVPR,3.6633333333333336,2015
CVPR,3.8662519440124417,2016
CVPR,4.067688378033206,2017
CVPR,4.304392236976507,2018
CVPR,4.531684698608965,2019
CVPR,4.752556237218814,2020
CVPR,4.870481927710843,2021
CVPR,5.233626588465298,2022
CVPR,5.402075226977951,2023
CVPR,5.620833333333334,2024
CVPR,6.200694444444444,2025
ECCV,5.10516717325228,2018
ECCV,5.10516717325228,2020
ECCV,5.10516717325228,2022
ECCV,5.466694595726854,2024
EMNLP,4.483993902439025,2021
EMNLP,4.978457261987491,2022
EMNLP,4.957920792079208,2023
EMNLP,5.456494325346784,2024
ICCV,3.394273127753304,2013
ICCV,3.8003472222222223,2015
ICCV,4.107890499194847,2017
ICCV,4.49953488372093,2019
ICCV,4.9882060831781505,2021
ICCV,5.342601319509896,2023
ICLR,2.8507462686567164,2013
ICLR,3.1449275362318843,2014
ICLR,3.7791411042944785,2017
ICLR,3.763819095477387,2018
ICLR,3.954863318499682,2019
ICLR,4.0956052428681575,2020
ICLR,4.135036496350365,2021
ICLR,4.357977790765634,2022
ICLR,4.550554994954592,2023
ICLR,4.848791683542595,2024
ICLR,5.309497302389312,2025
ICML,3.6589861751152073,2017
ICML,3.7262479871175525,2018
ICML,3.7438551099611903,2019
ICML,3.8985239852398523,2020
ICML,4.094674556213017,2021
ICML,4.357664233576642,2022
ICML,4.44289544235925,2023
ICML,5.0,2024
IJCAI,4.232349165596919,2020
IJCAI,4.175656984785616,2021
IJCAI,4.3839907192575405,2022
IJCAI,4.479435957696827,2023
IJCAI,4.894083969465649,2024
NeurIPS,3.0388888888888888,2013
NeurIPS,3.1338199513381997,2014
NeurIPS,3.2779156327543424,2015
NeurIPS,3.443661971830986,2016
NeurIPS,3.6714905933429813,2017
NeurIPS,3.7998017839444995,2018
NeurIPS,3.9039943938332167,2019
NeurIPS,4.104791995787257,2020
NeurIPS,4.5096011816839,2021
NeurIPS,4.58513425016372,2022
NeurIPS,4.946975752731149,2023
NeurIPS,5.54927536231884,2024
SIGGRAPH,3.857142857142857,2010
SIGGRAPH,3.9391304347826086,2011
SIGGRAPH,3.984848484848485,2012
SIGGRAPH,4.119205298013245,2013
SIGGRAPH,4.30635838150289,2014
SIGGRAPH,4.116883116883117,2015
SIGGRAPH,4.487654320987654,2016
SIGGRAPH,4.072289156626506,2017
SIGGRAPH,4.532934131736527,2018
SIGGRAPH,4.523148148148148,2019
SIGGRAPH,4.203619909502263,2020
SIGGRAPH,4.441441441441442,2021
SIGGRAPH,4.872204472843451,2022
SIGGRAPH,5.125523012552302,2023
SIGGRAPH,5.491039426523297,2024
SIGGRAPH Asia,4.642857142857143,2018
SIGGRAPH Asia,4.989247311827957,2019
SIGGRAPH Asia,4.981651376146789,2020
SIGGRAPH Asia,5.0,2021
SIGGRAPH Asia,4.87378640776699,2022
SIGGRAPH Asia,5.236607142857143,2023
SIGGRAPH Asia,5.777358490566038,2024
WACV,4.0476190476190474,2020
WACV,4.238916256157635,2021
WACV,4.145320197044335,2022
WACV,4.261345852895149,2023
WACV,4.509456264775413,2024
The Web Conference,5.283950617283951,2024
